Koordinatensystem : Lambert konform konisch
Rechtswert        : 3941500 Meter
Hochwert          : 2453500 Meter
Hoehenlage        : 253 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3941500 2453500  1  4 19   7.3  990 209  4.6 8  4.6  72    0    0 319 -329  2
3941500 2453500  1  4 20   6.6  989 208  4.7 8  4.5  71    0    0 327 -330  2
3941500 2453500  1  4 21   7.9  990 236  5.4 8  4.5  70    0    0 329 -331  2
3941500 2453500  1  4 22   8.1  990 225  4.1 7  4.6  68    0    0 324 -332  2
3941500 2453500  1  4 23   7.8  991 202  3.9 7  4.8  70    0    0 316 -333  2
3941500 2453500  1  4 24   7.7  991 227  4.7 8  4.9  73    0    0 325 -334  2
3941500 2453500  1  5  1   7.8  991 204  5.3 8  5.0  75    0    0 334 -334  2
3941500 2453500  1  5  2   7.6  991 207  4.9 7  5.2  78    0    0 326 -335  2
3941500 2453500  1  5  3   7.8  991 220  4.3 8  5.3  80    0    0 325 -336  2
3941500 2453500  1  5  4   7.8  991 218  4.2 7  5.4  80    0    0 326 -336  2
3941500 2453500  1  5  5   7.6  991 218  3.5 6  5.4  81    0    0 308 -337  2
3941500 2453500  1  5  6   7.4  991 225  3.4 6  5.4  82    0    0 300 -337  2
3941500 2453500  1  5  7   7.3  992 221  3.2 7  5.4  83    0    0 309 -336  2
3941500 2453500  1  5  8   7.2  992 218  3.1 6  5.3  82    0    0 311 -336  2
3941500 2453500  1  5  9   7.0  993 229  2.2 6  5.2  82    0    6 305 -336  2
3941500 2453500  1  5 10   6.9  994 259  2.2 7  5.3  83   20   53 313 -336  2
3941500 2453500  1  5 11   7.3  994 257  2.1 7  5.3  83    3   71 321 -337  2
3941500 2453500  1  5 12   8.0  995 276  2.6 6  5.3  80    8  111 316 -341  2
3941500 2453500  1  5 13   8.4  995 242  2.2 7  5.3  77   27  133 317 -344  2
3941500 2453500  1  5 14   8.6  994 282  2.7 7  5.3  75   29  124 322 -346  2
3941500 2453500  1  5 15   9.4  994 259  1.5 5  5.2  71   31   94 311 -346  2
3941500 2453500  1  5 16   9.3  993 266  0.6 5  5.2  70    7   47 300 -342  2
3941500 2453500  1  5 17   8.4  993 211  1.4 5  5.2  73    2   10 297 -334  2
3941500 2453500  1  5 18   7.2  993 205  1.7 3  5.1  76    0    0 281 -325  2
3941500 2453500  1  5 19   6.9  993 197  2.2 1  5.0  79    0    0 257 -323  2
3941500 2453500  1  5 20   5.7  993 174  2.4 1  5.0  82    0    0 243 -327  2
3941500 2453500  1  5 21   4.9  993 189  2.0 0  4.8  85    0    0 234 -332  2
3941500 2453500  1  5 22   4.4  993 173  2.4 0  4.6  85    0    0 226 -333  2
3941500 2453500  1  5 23   3.6  993 175  1.8 0  4.3  84    0    0 225 -332  2
3941500 2453500  1  5 24   3.0  993 193  2.1 0  4.2  86    0    0 223 -330  2
3941500 2453500  1  6  1   1.9  993 216  2.1 1  4.0  88    0    0 226 -330  2
3941500 2453500  1  6  2   2.1  992 206  2.1 0  3.9  87    0    0 223 -327  2
3941500 2453500  1  6  3   1.6  992 192  1.6 0  3.8  85    0    0 217 -323  2
3941500 2453500  1  6  4   1.3  991 202  1.6 2  3.7  86    0    0 226 -321  2
3941500 2453500  1  6  5   1.1  991 164  2.1 3  3.7  87    0    0 239 -319  2
3941500 2453500  1  6  6   0.8  991 181  1.7 2  3.6  87    0    0 236 -319  2
3941500 2453500  1  6  7   0.8  991 173  1.8 4  3.6  86    0    0 239 -319  2
3941500 2453500  1  6  8   0.9  991 172  1.3 7  3.6  87    0    0 261 -318  2
3941500 2453500  1  6  9   1.1  991 152  1.2 7  3.7  88    0   11 276 -318  2
3941500 2453500  1  6 10   1.1  991 183  1.5 5  3.7  88    0   39 266 -318  2
3941500 2453500  1  6 11   1.8  992 169  2.5 6  3.8  88   35   95 261 -318  2
3941500 2453500  1  6 12   3.5  993 205  2.7 3  4.2  88  130  125 254 -325  2
3941500 2453500  1  6 13   3.6  992 225  2.1 3  4.3  86  152  129 241 -336  2
3941500 2453500  1  6 14   4.6  992 156  1.8 5  4.4  84   94  133 253 -342  2
3941500 2453500  1  6 15   5.2  992 149  2.5 4  4.5  82   69  101 261 -344  2
3941500 2453500  1  6 16   6.0  992 180  2.2 6  4.6  79   19   53 270 -342  2
